Year,Month,Stock,Position,Buy Price,Sell Price,Profit,Drawdown,Upside,Monthly Return,Cumulative Return,Mean Monthly Return,Monthly Volatility,Risk-Adjusted Mean Return
2021,7,DRREDDY.NS,Short,4608.47900390625,4594.37744140625,-0.003069308666917837,-0.1312635831166482,0.2164513244278532,0.008484792319980524,0.04877251967071605,0.008484792319980524,0.10107684156382847,0.08394397953781044
2021,8,DRREDDY.NS,Short,4781.54052734375,4608.47900390625,-0.03755285058059485,-0.1312635831166482,0.2164513244278532,0.012959244477668774,0.10808747656450035,0.012959244477668774,0.09939682751290604,0.13037885415393263
2021,9,DRREDDY.NS,Short,4564.5400390625,4781.54052734375,0.04538296539374905,-0.1312635831166482,0.14329071495237056,-0.001948961676269419,-0.054874373585883984,-0.001948961676269419,0.07699219915968356,-0.025313755127675062
2021,10,DRREDDY.NS,Short,4580.85205078125,4564.5400390625,-0.0035736375580353733,-0.1312635831166482,0.14329071495237056,-0.000925524087608561,-0.04255676312508494,-0.000925524087608561,0.07626242969658135,-0.012136042495510077
2021,11,DRREDDY.NS,Short,4807.3056640625,4580.85205078125,-0.04943482364653734,-0.1312635831166482,0.14329071495237056,0.0003899357223343114,-0.02725617702024863,0.0003899357223343114,0.07618615683337708,0.00511819651419247
2021,12,DRREDDY.NS,Short,4215.380859375,4807.3056640625,0.12313026174151849,-0.1312635831166482,0.14329071495237056,-0.001981729222386356,-0.05293982353680715,-0.001981729222386356,0.07396469334049892,-0.02679290797926248
2022,1,DRREDDY.NS,Short,3980.844970703125,4215.380859375,0.05563812535473932,-0.1312635831166482,0.14329071495237056,-0.0025981964763166407,-0.060862743084481585,-0.0025981964763166407,0.07502221972298506,-0.034632359398459836
2022,2,DRREDDY.NS,Short,4208.1806640625,3980.844970703125,-0.05710739680455865,-0.1312635831166482,0.14329071495237056,-0.0040454520164717,-0.0778218450507061,-0.0040454520164717,0.0759349089289243,-0.05327526000272518
2022,4,DRREDDY.NS,Short,4280.873046875,4048.00244140625,-0.057527288789838836,-0.1312635831166482,0.05710739680455856,-0.01608331477280504,-0.19603870352350816,-0.01608331477280504,0.0634529471431979,-0.25346836509435733
2022,5,DRREDDY.NS,Short,4304.5322265625,4280.873046875,-0.005526718365257525,-0.1312635831166482,0.057527288789838815,-0.013646635175898795,-0.17317743035849065,-0.013646635175898795,0.06582868736963221,-0.20730529076589485
2023,8,DRREDDY.NS,Buy,5574.83740234375,5554.10986328125,-0.0037180526653182414,-0.08698038039099443,0.14631030762109298,0.02591286204119812,0.3313636018577779,0.02591286204119812,0.0630111805377198,0.4112422877982129
