Year,Month,Stock,Position,Buy Price,Sell Price,Profit,Drawdown,Upside,Monthly Return,Cumulative Return,Mean Monthly Return,Monthly Volatility,Risk-Adjusted Mean Return
2021,1,COALINDIA.NS,Short,110.4227523803711,91.34184265136719,-0.2088956076990013,-0.16834923786104783,0.15596913513161037,-0.013238415150584529,-0.19768676394971063,-0.013238415150584529,0.10408105632383519,-0.12719332045780604
2021,3,COALINDIA.NS,Short,99.84640502929688,94.57037353515625,-0.05578947504293484,-0.14356080158741624,0.2088956076990014,0.012335046952946885,0.0777080009563762,0.012335046952946885,0.11676958459702498,0.10563578688333497
2021,4,COALINDIA.NS,Short,110.84037780761719,99.84640502929688,-0.11010884943823934,-0.14356080158741624,0.2088956076990014,0.0039867419455572595,-0.015689320762221404,0.0039867419455572595,0.1088817959708995,0.03661532132169076
2021,5,COALINDIA.NS,Short,110.05241394042969,110.84037780761719,0.007108996583854566,-0.14356080158741624,0.2088956076990014,0.017202880628176903,0.14837052793329852,0.017202880628176903,0.11152673630059766,0.15424893795699385
2022,4,COALINDIA.NS,Buy,153.61891174316406,162.06224060058594,0.054962821709987786,-0.08946096658767055,0.2691121253703619,0.04125189631446352,0.5385522563189862,0.04125189631446352,0.10538982103304127,0.39142201694725753
2022,5,COALINDIA.NS,Buy,162.06224060058594,155.92929077148438,-0.0378431755995319,-0.08946096658767055,0.2691121253703619,0.036656394003775884,0.46212277336218843,0.036656394003775884,0.10329588741923611,0.3548678937720187
2022,6,COALINDIA.NS,Buy,155.92929077148438,177.478759765625,0.13820026300075683,-0.08946096658767055,0.2691121253703619,0.03409521241913611,0.41686388502016336,0.03409521241913611,0.10484902764515479,0.32518386850974
2022,7,COALINDIA.NS,Buy,177.478759765625,197.26394653320312,0.11147918090990752,-0.08946096658767055,0.2691121253703619,0.047515510460047435,0.6503748772638789,0.047515510460047435,0.10717916928263463,0.4433278479211537
2022,8,COALINDIA.NS,Buy,197.26394653320312,180.78582763671875,-0.08353335308391392,-0.08946096658767055,0.2691121253703619,0.05532254627331141,0.8022860844011845,0.05532254627331141,0.1082244080663766,0.5111836346508892
2022,10,COALINDIA.NS,Buy,209.4901123046875,193.5622100830078,-0.07603176133923571,-0.08353335308391396,0.1594679718961971,0.04662176047898683,0.6563075442153414,0.04662176047898683,0.0910766119614829,0.5118960782017625
2022,11,COALINDIA.NS,Buy,193.5622100830078,204.07131958007812,0.05429318818256701,-0.08353335308391396,0.1594679718961971,0.04659468883950693,0.6557254047084824,0.04659468883950693,0.09111631814139483,0.5113758961067877
2022,12,COALINDIA.NS,Buy,204.07131958007812,203.8899688720703,-0.0008886633770045771,-0.08353335308391396,0.1594679718961971,0.05438117404565471,0.8167354609060087,0.05438117404565471,0.0870237694211489,0.6249002359628743
2023,1,COALINDIA.NS,Buy,203.8899688720703,195.32086181640625,-0.0420280953647146,-0.08353335308391396,0.15877508233471027,0.04101812110622124,0.5654774764220025,0.04101812110622124,0.08156044413741671,0.5029168433304759
2023,2,COALINDIA.NS,Buy,195.32086181640625,198.4768524169922,0.016157980111476476,-0.08353335308391396,0.15877508233471027,0.03243128955968499,0.41344374800966954,0.03243128955968499,0.08463032230256373,0.38321122592135676
2023,4,COALINDIA.NS,Buy,216.54554748535156,224.11672973632812,0.03496346306307094,-0.08353335308391396,0.15877508233471027,0.03204835459518554,0.40962818332807016,0.03204835459518554,0.08250984966355131,0.38841853094955875
2023,5,COALINDIA.NS,Buy,224.11672973632812,214.59466552734375,-0.04248707457130497,-0.08353335308391396,0.15877508233471027,0.03038174137460913,0.3829052893861933,0.03038174137460913,0.08220634904988144,0.36957901337004995
2023,9,COALINDIA.NS,Buy,279.0401306152344,297.0472412109375,0.06453233287986432,-0.07603176133923573,0.3056821515655006,0.041282248755036256,0.5434845433567577,0.041282248755036256,0.10459536147210266,0.39468527259736014
2023,10,COALINDIA.NS,Buy,297.0472412109375,323.419921875,0.08878278268652522,-0.07603176133923573,0.3056821515655006,0.03342868630046577,0.4179535155287173,0.03342868630046577,0.09832134014489732,0.3399942093059505
2023,11,COALINDIA.NS,Buy,323.419921875,371.7179870605469,0.14933546735631767,-0.04248707457130496,0.3056821515655006,0.04716323163594585,0.6708835972491927,0.04716323163594585,0.09300868911956542,0.5070841453889983
