Year,Month,Stock,Position,Buy Price,Sell Price,Profit,Drawdown,Upside,Monthly Return,Cumulative Return,Mean Monthly Return,Monthly Volatility,Risk-Adjusted Mean Return
2021,2,TATAMOTORS.NS,Buy,320.9561462402344,299.93670654296875,-0.06549006754814615,-0.44901122698629736,0.4288822343254437,0.11020519370753097,1.504459265799961,0.11020519370753097,0.2496686987931872,0.4414057278314224
2021,3,TATAMOTORS.NS,Buy,299.93670654296875,292.0357971191406,-0.026341922317188095,-0.06913400438777917,0.4288822343254437,0.1421652903273769,3.2477127918774045,0.1421652903273769,0.18867179224313432,0.7535058030517555
2021,4,TATAMOTORS.NS,Buy,292.0357971191406,316.7820739746094,0.08473713530870024,-0.06913400438777917,0.4288822343254437,0.11393212470956214,2.151206338616502,0.11393212470956214,0.18620562683684044,0.6118618789613337
2021,5,TATAMOTORS.NS,Buy,316.7820739746094,337.50335693359375,0.06541179145334222,-0.06913400438777917,0.4288822343254437,0.12657889424455285,2.663792958918939,0.12657889424455285,0.17776025561343833,0.7120764639302405
2021,6,TATAMOTORS.NS,Buy,337.50335693359375,292.13519287109375,-0.13442285278195476,-0.06913400438777917,0.4288822343254437,0.1212540243052082,2.456488849276041,0.1212540243052082,0.17862594146828717,0.6788153126500686
2021,7,TATAMOTORS.NS,Buy,292.13519287109375,285.5262451171875,-0.022622908554610483,-0.13442285278195476,0.4288822343254437,0.1046237824672398,1.8088867370892023,0.1046237824672398,0.19303381818170512,0.5419971663657202
2021,9,TATAMOTORS.NS,Buy,331.29193115234375,480.71368408203125,0.4510274440127438,-0.13442285278195476,0.4288822343254437,0.09115927321118328,1.5007501715615752,0.09115927321118328,0.1724800046577576,0.5285208183526289
2021,10,TATAMOTORS.NS,Buy,480.71368408203125,455.7686767578125,-0.05189161064106928,-0.13442285278195476,0.45102744401274375,0.12915124127395897,2.6464377901077127,0.12915124127395897,0.19776121733583274,0.6530665770257564
2021,11,TATAMOTORS.NS,Buy,455.7686767578125,479.4217224121094,0.0518970408904728,-0.13442285278195476,0.45102744401274375,0.09486086757361833,1.5428334663948569,0.09486086757361833,0.18968100048786485,0.50010737675167
2021,12,TATAMOTORS.NS,Buy,479.4217224121094,514.553466796875,0.07327941714448744,-0.13442285278195476,0.45102744401274375,0.09756839423302756,1.62387812806748,0.09756839423302756,0.18873557624942663,0.5169581494486467
2022,1,TATAMOTORS.NS,Buy,514.553466796875,451.2467346191406,-0.12303236935089065,-0.13442285278195476,0.45102744401274375,0.06793482613461455,0.9708792791310072,0.06793482613461455,0.15728249299690603,0.43192872162797497
2022,8,TATAMOTORS.NS,Buy,468.1914978027344,402.10205078125,-0.14115900722599237,-0.12303236935089068,0.45102744401274375,0.050613373290590014,0.6397494304265312,0.050613373290590014,0.1484368603928627,0.34097577351497027
2022,12,TATAMOTORS.NS,Short,449.30877685546875,385.55487060546875,-0.16535624656973458,-0.1411590072259924,0.0917921946837088,-0.01479149678477378,-0.19579182047565402,-0.01479149678477378,0.08212589781199167,-0.18010758090749285
2023,7,TATAMOTORS.NS,Buy,640.3221435546875,599.1510620117188,-0.06429745083374971,-0.1411590072259924,0.16535624656973447,0.03513089225776031,0.4330515596177891,0.03513089225776031,0.10107528070976358,0.3475715527185943
2023,9,TATAMOTORS.NS,Buy,628.26123046875,626.7160034179688,-0.002459529533007067,-0.11709135939994542,0.16535624656973447,0.04159980252746437,0.5624422438236563,0.04159980252746437,0.09080651315881293,0.4581147439799811
2023,10,TATAMOTORS.NS,Buy,626.7160034179688,704.226806640625,0.12367771494573249,-0.11709135939994542,0.16535624656973447,0.0397162253818005,0.5278238106174382,0.0397162253818005,0.09152363041516152,0.4339450391297113
2023,11,TATAMOTORS.NS,Buy,704.226806640625,777.550537109375,0.10411948221415539,-0.11709135939994542,0.16535624656973447,0.044642135339406315,0.612657444966985,0.044642135339406315,0.09452422969704384,0.472282455858008
