Year,Month,Stock,Position,Buy Price,Sell Price,Profit,Drawdown,Upside,Monthly Return,Cumulative Return,Mean Monthly Return,Monthly Volatility,Risk-Adjusted Mean Return
2021,4,BRITANNIA.NS,Short,3319.9267578125,3266.970703125,-0.01620952848975512,-0.08554159864800526,0.07913979847616504,0.011376535203601074,0.1255169601623789,0.011376535203601074,0.056781541552482856,0.20035622303571676
2021,5,BRITANNIA.NS,Short,3527.28759765625,3319.9267578125,-0.06245946220222644,-0.08554159864800526,0.0776810877713836,0.0061323460380669215,0.05988219599436451,0.0061323460380669215,0.05271454673009239,0.11633119164365759
2021,6,BRITANNIA.NS,Short,3308.623291015625,3527.28759765625,0.061992196719632166,-0.08554159864800526,0.0776810877713836,0.005789316390470117,0.055791673669826514,0.005789316390470117,0.05229720702628846,0.11070029777230697
2021,7,BRITANNIA.NS,Short,3863.475341796875,3308.623291015625,-0.16769876833301592,-0.08554159864800526,0.0776810877713836,-0.004459294655098302,-0.06658897035117117,-0.004459294655098302,0.05254579024766351,-0.0848649270299363
2021,8,BRITANNIA.NS,Short,3816.552978515625,3863.475341796875,0.012145117835649687,-0.08554159864800526,0.167698768333016,0.011641650272927925,0.11847816299473624,0.011641650272927925,0.07164047477420535,0.16250102068167172
2021,9,BRITANNIA.NS,Short,3552.5126953125,3816.552978515625,0.0691829209995189,-0.08554159864800526,0.167698768333016,0.007168378957400588,0.06083331659445479,0.007168378957400588,0.07127925971898268,0.10056752813738254
2021,10,BRITANNIA.NS,Short,3426.629638671875,3552.5126953125,0.03543493505504604,-0.06918292099951884,0.167698768333016,0.008531602094774457,0.0798104841061602,0.008531602094774457,0.06947867040688714,0.12279455039670352
2021,11,BRITANNIA.NS,Short,3485.101318359375,3426.629638671875,-0.017063904142895058,-0.06918292099951884,0.167698768333016,0.0016270603943003281,-0.005606249696678889,0.0016270603943003281,0.06937962263467638,0.023451560162956447
2022,3,BRITANNIA.NS,Short,3169.30615234375,3098.8984375,-0.02272023955084846,-0.06918292099951884,0.167698768333016,-0.0065412677469041764,-0.0975122282583577,-0.0065412677469041764,0.06737281271545689,-0.09709061390283112
2023,3,BRITANNIA.NS,Buy,4249.29296875,4476.7919921875,0.05353808859745969,-0.04972858527163326,0.15816858002727896,0.028868809013765585,0.3712269228732987,0.028868809013765585,0.07159269555197394,0.4032367937984369
2023,4,BRITANNIA.NS,Buy,4476.7919921875,4657.0498046875,0.040264951513175044,-0.04972858527163326,0.15816858002727896,0.03143696310098318,0.4125463987998894,0.03143696310098318,0.07190415216492511,0.43720650552803747
