Year,Month,Stock,Position,Buy Price,Sell Price,Profit,Drawdown,Upside,Monthly Return,Cumulative Return,Mean Monthly Return,Monthly Volatility,Risk-Adjusted Mean Return
2021,6,ITC.NS,Short,185.44985961914062,178.45098876953125,-0.03922012927957709,-0.10151750982878271,0.17186073978633165,0.012437377620644155,0.12085295111570926,0.012437377620644155,0.08052148343268398,0.15446036374928204
2022,6,ITC.NS,Buy,259.13531494140625,287.1332702636719,0.10804376597067179,-0.05483804096582512,0.18805579991281274,0.03336978955001852,0.452137176309392,0.03336978955001852,0.06492574444378957,0.5139685318342235
2022,7,ITC.NS,Buy,287.1332702636719,303.66680908203125,0.05758141090085721,-0.05483804096582512,0.18805579991281274,0.039105092607609755,0.5483067544691544,0.039105092607609755,0.06843452549232404,0.5714234492938214
2022,9,ITC.NS,Buy,314.7522888183594,330.38568115234375,0.04966887577744116,-0.05483804096582512,0.18805579991281274,0.03456328454680108,0.47299861559193235,0.03456328454680108,0.06423571093512344,0.5380696195876028
2022,10,ITC.NS,Buy,330.38568115234375,322.1426086425781,-0.024949847950476618,-0.0197546694832339,0.18805579991281274,0.0432721942754066,0.6358686319010067,0.0432721942754066,0.05777222730991135,0.7490137785977807
2022,11,ITC.NS,Buy,322.1426086425781,314.13641357421875,-0.024852952864867262,-0.02494984795047661,0.18805579991281274,0.04195842842369154,0.6098397856997431,0.04195842842369154,0.059234316440905904,0.7083466298720715
2022,12,ITC.NS,Buy,314.13641357421875,333.8439636230469,0.06273564348875449,-0.02494984795047661,0.18805579991281274,0.04105548138666826,0.5921485971246694,0.04105548138666826,0.0602392269766208,0.681540641326658
2023,1,ITC.NS,Buy,333.8439636230469,356.9150695800781,0.06910745279516727,-0.02494984795047661,0.18805579991281274,0.045461769046769816,0.6755121927012271,0.045461769046769816,0.059681204597807944,0.761743489481102
2023,2,ITC.NS,Buy,356.9150695800781,369.0883483886719,0.034106934243252875,-0.02494984795047661,0.18805579991281274,0.052866945903303236,0.8274023009339051,0.052866945903303236,0.05626899903690918,0.9395394765886205
2023,3,ITC.NS,Buy,369.0883483886719,409.5581359863281,0.10964796849950725,-0.02494984795047661,0.10804376597067189,0.040037873764173254,0.5906065954027642,0.040037873764173254,0.03684006399219751,1.086802503183844
2023,4,ITC.NS,Buy,409.5581359863281,428.7584228515625,0.046880491872038695,-0.02494984795047661,0.10964796849950731,0.04621623765920541,0.7044909899958132,0.04621623765920541,0.04188302891715805,1.1034597748557817
2023,5,ITC.NS,Buy,428.7584228515625,437.3069763183594,0.01993792544049079,-0.02494984795047661,0.10964796849950731,0.0465590896389459,0.7112160419454838,0.0465590896389459,0.04186905735100011,1.112016667789483
2023,6,ITC.NS,Buy,437.3069763183594,450.96075439453125,0.031222410836254138,-0.02494984795047661,0.10964796849950731,0.045367756066378336,0.6875622545589355,0.045367756066378336,0.04245098036284142,1.0687092660430064
2023,7,ITC.NS,Buy,450.96075439453125,425.78363037109375,-0.055829966971828404,-0.02494984795047661,0.10964796849950731,0.03896597647184353,0.5705625265244192,0.03896597647184353,0.03766232535410383,1.0346141961624162
2023,8,ITC.NS,Buy,425.78363037109375,430.3348693847656,0.010689088750793968,-0.055829966971828404,0.10964796849950731,0.029515028315786396,0.40214082552589536,0.029515028315786396,0.04589597893228009,0.6430852768024857
