Year,Month,Stock,Position,Buy Price,Sell Price,Profit,Drawdown,Upside,Monthly Return,Cumulative Return,Mean Monthly Return,Monthly Volatility,Risk-Adjusted Mean Return
2021,1,LTIM.NS,Buy,3779.448486328125,3432.3388671875,-0.09184134150690725,-0.2519697759093983,0.23438393229682797,0.06959611117939261,1.068867124186919,0.06959611117939261,0.12050279678869794,0.5775476838220579
2021,11,LTIM.NS,Buy,6562.0947265625,7065.40380859375,0.07669945390972806,-0.09184134150690726,0.15908511497111344,0.06887442980596144,1.1504316650137407,0.06887442980596144,0.08209512759885829,0.8389588008499458
2021,12,LTIM.NS,Buy,7065.40380859375,6042.3564453125,-0.1447967293867766,-0.09184134150690726,0.15908511497111344,0.0633133234871746,1.0249276928838156,0.0633133234871746,0.07877868297395822,0.8036859858155284
2022,10,LTIM.NS,Short,4697.0966796875,4601.2822265625,-0.020823424516730964,-0.21385291120999073,0.19879097842724458,-0.021510937292799792,-0.2837986822734698,-0.021510937292799792,0.11243947801489611,-0.19131125181806696
2022,11,LTIM.NS,Short,4237.7783203125,4697.0966796875,0.09778771668918654,-0.21385291120999073,0.19879097842724458,-0.02155955074427394,-0.2842077300904744,-0.02155955074427394,0.11241935988338299,-0.19177791767039512
2022,12,LTIM.NS,Short,4240.83642578125,4237.7783203125,-0.0007216294099415023,-0.21385291120999073,0.19879097842724458,-0.03610014829418349,-0.40020720186466485,-0.03610014829418349,0.10980892114980045,-0.3287542388740525
2023,1,LTIM.NS,Short,4625.7333984375,4240.83642578125,-0.09075968370681592,-0.21385291120999073,0.19879097842724458,-0.023973618394456987,-0.29814858422144597,-0.023973618394456987,0.10462671944848846,-0.2291347613767062
2023,2,LTIM.NS,Short,4662.56689453125,4625.7333984375,-0.007962736483298363,-0.21385291120999073,0.19879097842724458,-0.010821159663100774,-0.17941208723531565,-0.010821159663100774,0.10856286679991488,-0.09967643617079996
