Year,Month,Stock,Position,Buy Price,Sell Price,Profit,Drawdown,Upside,Monthly Return,Cumulative Return,Mean Monthly Return,Monthly Volatility,Risk-Adjusted Mean Return
2021,1,WIPRO.NS,Buy,410.9570617675781,404.39044189453125,-0.015978846658098574,-0.11176338283177423,0.27908042949948664,0.05369428536889426,0.771905173848142,0.05369428536889426,0.10675643225268153,0.5029606576005218
2022,5,WIPRO.NS,Short,414.1445007324219,475.86053466796875,0.12969353295626665,-0.1995527502216814,0.12255792479266447,-0.004859192666631272,-0.10432323636150587,-0.004859192666631272,0.09394636106265515,-0.05172305357724879
2022,6,WIPRO.NS,Short,421.759521484375,414.1445007324219,-0.018387352092049575,-0.1995527502216814,0.12255792479266447,-0.01668731083987655,-0.22991554581640028,-0.01668731083987655,0.1003164769469379,-0.16634665956922762
2022,7,WIPRO.NS,Short,411.65594482421875,421.759521484375,0.023955776089172556,-0.1995527502216814,0.12255792479266447,-0.021493039127372975,-0.2711864424656043,-0.021493039127372975,0.09678894753743235,-0.22206088271660063
2022,8,WIPRO.NS,Short,392.4443664550781,411.65594482421875,0.04666901719916656,-0.1995527502216814,0.12255792479266447,-0.03112509461129469,-0.3483552241612208,-0.03112509461129469,0.09002286598059846,-0.3457465419730439
2022,9,WIPRO.NS,Short,384.77960205078125,392.4443664550781,0.019530830506071836,-0.1995527502216814,0.12255792479266447,-0.034123573743194135,-0.3720558381062905,-0.034123573743194135,0.08987936289820468,-0.3796597199052436
2022,10,WIPRO.NS,Short,405.03643798828125,384.77960205078125,-0.05264529572133246,-0.1995527502216814,0.12255792479266447,-0.03741360871316401,-0.39636243059473364,-0.03741360871316401,0.08843099409108018,-0.42308253003047297
2022,11,WIPRO.NS,Short,390.95123291015625,405.03643798828125,0.034775155410912736,-0.1995527502216814,0.12255792479266447,-0.03180243319680052,-0.35511110143643665,-0.03180243319680052,0.09206559627894562,-0.345432327407555
2022,12,WIPRO.NS,Short,397.0232849121094,390.95123291015625,-0.015531481910810425,-0.1995527502216814,0.06495145601908314,-0.04491352321376529,-0.4454960647057822,-0.04491352321376529,0.07825118237951129,-0.5739660647674139
2023,1,WIPRO.NS,Short,386.2262878417969,397.0232849121094,0.027194871133824492,-0.14039544888973565,0.06495145601908314,-0.02698983720272431,-0.2964980474470159,-0.02698983720272431,0.06269763577820607,-0.43047615540403
2023,2,WIPRO.NS,Short,364.47271728515625,386.2262878417969,0.05632338150310255,-0.14039544888973565,0.06495145601908314,-0.02694279578696247,-0.2960895840264891,-0.02694279578696247,0.0626972176853172,-0.4297287309014366
2023,3,WIPRO.NS,Short,384.1806640625,364.47271728515625,-0.05407248839952166,-0.14039544888973565,0.052645295721332364,-0.03704903224714461,-0.3762496897710951,-0.03704903224714461,0.0559491532778905,-0.66219111597861
2023,4,WIPRO.NS,Short,402.7909851074219,384.1806640625,-0.04844158695580337,-0.12969353295626662,0.05407248839952161,-0.020843370806373173,-0.23513894756169285,-0.020843370806373173,0.05126096638054734,-0.40661291189162746
2023,5,WIPRO.NS,Short,388.32183837890625,402.7909851074219,0.03592222086265608,-0.12969353295626662,0.05407248839952161,-0.012422029976583324,-0.153552447066305,-0.012422029976583324,0.05380480391835685,-0.23087213542181945
2023,6,WIPRO.NS,Short,404.18798828125,388.32183837890625,-0.04085824780954581,-0.056323381503102565,0.05407248839952161,-0.004607753968782445,-0.06235181756089425,-0.004607753968782445,0.04035234004465708,-0.11418802388369897
2023,7,WIPRO.NS,Short,407.5308532714844,404.18798828125,-0.008270569851542143,-0.056323381503102565,0.05407248839952161,-0.002735179325657764,-0.04166244579679512,-0.002735179325657764,0.04200403530755883,-0.06511706091165854
